2026-03-24 19:06:40,049 | INFO | ingestion.collector | Fetching Coinbase candles for symbol=BTC-USD interval=1m start=2026-03-24T17:36:40.049229+00:00 end=2026-03-24T19:06:40.049229+00:00 overlap_minutes=90
2026-03-24 19:06:40,468 | INFO | ingestion.collector | Ingestion cycle complete: symbol=BTC-USD interval=1m received=90 new_rows=7 final_rows=105 existing_rows=98 partitions=1 latest=2026-03-24T19:06:00+00:00 duration_ms=406
2026-03-24 15:21:17,167 | INFO | __main__ | Ingestion healthcheck passed: last_successful_run_at=2026-03-24T19:06:40+00:00 threshold_minutes=75
2026-03-24 15:21:17,746 | INFO | app.ingestion.collector | Fetching Coinbase candles for symbol=BTC-USD interval=1m start=2026-03-24T17:51:17.746458+00:00 end=2026-03-24T19:21:17.746458+00:00 overlap_minutes=90
2026-03-24 15:21:18,313 | INFO | app.ingestion.collector | Ingestion cycle complete: symbol=BTC-USD interval=1m received=90 new_rows=15 final_rows=120 existing_rows=105 partitions=1 latest=2026-03-24T19:21:00+00:00 duration_ms=566
2026-03-24 19:21:47,668 | INFO | __main__ | Ingestion healthcheck passed: last_successful_run_at=2026-03-24T19:21:18+00:00 threshold_minutes=75
2026-03-24 19:21:50,165 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 19:21:50,166 | INFO | __main__ | Starting ingestion scheduler provider=coinbase symbol=BTC-USD interval=1m cadence=30 first_run=2026-03-24T19:30:00.000020+00:00
2026-03-24 19:21:50,166 | INFO | apscheduler.scheduler | Added job "CoinbaseIngestionService.collect_once" to job store "default"
2026-03-24 19:21:50,167 | INFO | apscheduler.scheduler | Scheduler started
2026-03-24 19:21:54,125 | INFO | __main__ | Ingestion healthcheck passed: last_successful_run_at=2026-03-24T19:21:18+00:00 threshold_minutes=75
2026-03-24 19:26:54,812 | INFO | __main__ | Ingestion healthcheck passed: last_successful_run_at=2026-03-24T19:21:18+00:00 threshold_minutes=75
2026-03-24 19:30:00,601 | INFO | apscheduler.executors.default | Running job "CoinbaseIngestionService.collect_once (trigger: interval[0:30:00], next run at: 2026-03-24 19:30:00 UTC)" (scheduled at 2026-03-24 19:30:00.000020+00:00)
2026-03-24 19:30:00,601 | INFO | app.ingestion.collector | Fetching Coinbase candles for symbol=BTC-USD interval=1m start=2026-03-24T18:00:00.601897+00:00 end=2026-03-24T19:30:00.601897+00:00 overlap_minutes=90
2026-03-24 19:30:01,041 | INFO | app.ingestion.collector | Ingestion cycle complete: symbol=BTC-USD interval=1m received=90 new_rows=8 final_rows=128 existing_rows=120 partitions=1 latest=2026-03-24T19:29:00+00:00 duration_ms=426
2026-03-24 19:30:01,041 | INFO | apscheduler.executors.default | Job "CoinbaseIngestionService.collect_once (trigger: interval[0:30:00], next run at: 2026-03-24 20:00:00 UTC)" executed successfully
2026-03-24 19:30:01,042 | INFO | __main__ | Scheduler job executed successfully: job_id=coinbase_ingestion scheduled_run_time=2026-03-24 19:30:00.000020+00:00
2026-03-24 15:31:07,372 | INFO | app.ingestion.collector | Fetching Coinbase candles for symbol=BTC-USD interval=1m start=2026-03-24T18:01:07.372418+00:00 end=2026-03-24T19:31:07.372418+00:00 overlap_minutes=90
2026-03-24 15:31:18,560 | INFO | app.ingestion.collector | Fetching Coinbase candles for symbol=BTC-USD interval=1m start=2026-03-24T18:01:18.560034+00:00 end=2026-03-24T19:31:18.560034+00:00 overlap_minutes=90
2026-03-24 15:31:19,023 | INFO | app.ingestion.collector | Ingestion cycle complete: symbol=BTC-USD interval=1m received=90 new_rows=2 final_rows=130 existing_rows=128 partitions=1 latest=2026-03-24T19:31:00+00:00 duration_ms=463
2026-03-24 19:31:55,453 | INFO | __main__ | Ingestion healthcheck passed: last_successful_run_at=2026-03-24T19:31:19+00:00 threshold_minutes=75
2026-03-24 19:36:56,084 | INFO | __main__ | Ingestion healthcheck passed: last_successful_run_at=2026-03-24T19:31:19+00:00 threshold_minutes=75
2026-03-24 19:41:56,738 | INFO | __main__ | Ingestion healthcheck passed: last_successful_run_at=2026-03-24T19:31:19+00:00 threshold_minutes=75
2026-03-24 19:46:57,416 | INFO | __main__ | Ingestion healthcheck passed: last_successful_run_at=2026-03-24T19:31:19+00:00 threshold_minutes=75
